name,profile_url,followers,average_interactions,quote_cny,audience_tags,past_campaign_result,source_name,collected_at
港漂小in,https://www.xiaohongshu.com/explore/69991701000000000d00a9a3,42000,13592,2800,香港伴手礼|零食测评|香港donki,公开笔记样本互动13592,知识库公开作者样本,2026-07-24
噜喵喵🐱,https://www.xiaohongshu.com/explore/68f2062e0000000003010c0d,38000,9073,2500,香港旅游|香港旅行|伴手礼,公开笔记样本互动9073,知识库公开作者样本,2026-07-24
排榜大王,https://www.xiaohongshu.com/explore/682aa4260000000023003a3d,55000,10435,3200,零食|曲奇|饼干,公开笔记样本互动10435,知识库公开作者样本,2026-07-24
Janine早,https://www.xiaohongshu.com/explore/699ecc7f0000000015021fb6,28000,7888,2200,蝴蝶酥|排队美食|探店,公开笔记样本互动7888,知识库公开作者样本,2026-07-24
礼物事务所,https://www.xiaohongshu.com/explore/693d4bf1000000001e024ac2,31000,5175,2000,香港伴手礼|香港探店|送礼,公开笔记样本互动5175,知识库公开作者样本,2026-07-24
明月前身,https://www.xiaohongshu.com/explore/68b7c2fb000000001c03c449,18000,4181,1500,香港必买|香港美食|特产,公开笔记样本互动4181,知识库公开作者样本,2026-07-24
小红薯芝士青年,https://www.xiaohongshu.com/explore/68f5e72b000000000300c47d,12000,5445,1200,烘焙|黄油饼干|烘焙日记,公开笔记样本互动5445,知识库公开作者样本,2026-07-24
史蒂芬的碳水自由,https://www.xiaohongshu.com/explore/692abfb4000000001e03938b,9000,5421,800,蝴蝶酥|手作面包|烘焙,公开笔记样本互动5421,知识库公开作者样本,2026-07-24
